,Title,Published_date,Views,Likes,Comments,Month
1074,Lamborghini Aventador vs Tesla Model X - DRAG & ROLLING RACE - Can an EV SUV beat a supercar?,2018-11-17,21705795,228851,13939,Nov
411,Bugatti Chiron v F1 Car: DRAG RACE,2021-06-26,21334032,681014,38599,Jun
1002,"Lamborghini Aventador S v Tesla Model S P100D - DRAG RACE, ROLLING RACE & BRAKE TEST",2019-03-09,17297680,204235,12899,Mar
1380,RS 3 v A45 AMG v Civic Type R v Golf R v Focus RS - DRAG & ROLLING RACE | Head-to-Head,2017-08-19,15346059,134828,9741,Aug
1071,"AMG GT C vs Audi R8 vs McLaren 570S vs BMW i8 - Roadsters ROOF, DRAG and ROLLING RACE!",2018-11-24,14697806,205376,7136,Nov
1008,"Tesla Model S v AMG GT 4 v BMW M5 v Porsche Panamera Turbo S - DRAG RACE, ROLLING RACE & BRAKE TEST",2019-03-02,14405017,180162,10733,Mar
1076,Lamborghini Urus v Tesla Model X v Mercedes-AMG G63 v Range Rover Sport SVR: DRAG RACE,2018-11-10,13062208,213255,13571,Nov
914,"Lamborghini Aventador S Roadster vs McLaren 720S Spider - DRAG RACE, ROLLING RACE & BRAKE TEST",2019-07-13,12669948,225512,7921,Jul
998,"AMG A35 v  BMW M140i  v Golf R v Audi S3 v Focus RS - DRAG RACE, ROLLING RACE & BRAKE TEST",2019-03-16,12031898,0,0,Mar
654,Lamborghini Aventador SVJ v Ferrari 812 v Porsche 911 Turbo S: DRAG RACE,2020-08-29,10865240,279877,31895,Aug
788,BMW M8 v Audi R8 v AMG GT 4dr v 911 vs Tesla Model X: DRAG RACE,2020-01-25,10793515,208795,11235,Jan
380,F1 Car v 1200hp Lamborghini v 1300hp GT-R NISMO: DRAG RACE,2021-07-31,10457227,298527,17007,Jul
794,We drove these electric cars until they DIED!,2020-01-14,9929093,154174,14068,Jan
848,AMG G63 v Suzuki Jimny v Jeep Wrangler - Up-Hill DRAG RACE & which is best OFF-ROAD!,2019-10-19,9789561,119269,12448,Oct
1373,BMW M5 v M4 v M2 v M6 - DRAG & ROLLING RACE,2017-08-26,9734558,101108,5430,Aug
808,AMG G63 vs Range Rover Sport SVR: TUG OF WAR - Mat vs Yianni!,2019-12-14,9594861,159399,7017,Dec
433,Ferrari SF90 v new Rimac Nevera: DRAG RACE *WORLD RECORD!!!*,2021-06-01,9326905,324231,24662,Jun
780,"AMG A45S v BMW M2 v Audi RS3 v VW Golf R: DRAG RACE, ROLLING RACE & BRAKE TEST!",2020-02-08,9132259,129564,6478,Feb
961,"New 911 vs GT-R NISMO vs Audi R8 vs BMW M850i - DRAG RACE, ROLLING RACE & BRAKE TEST",2019-05-04,9079383,143702,9110,May
748,"Toyota Land Cruiser, Audi Q7 & VW Touareg vs Land Rover: TUG OF WAR!",2020-04-11,8883703,194668,11732,Apr
751,Lamborghini Aventador vs NEW Tesla Model S Performance: DRAG RACE!,2020-04-04,8359730,185126,11363,Apr
